id,interest_area,major,short_description,career_paths,prerequisites
385,Engineering,Nuclear Engineering,"Nuclear Engineering focuses on the processes, research, and systems surrounding the production and use of nuclear energy and radiation. This field combines principles from physics, chemistry, and engineering to develop solutions in power generation, medical technology, and national security.","Nuclear Engineer, Reactor Operator, Radiation Engineer, Health Physics Technician, Nuclear Power Plant Manager, Nuclear Safety Engineer, Radiological Scientist, Energy Policy Analyst","{""IB"":[""IB Physics HL"",""IB Mathematics HL"",""IB Chemistry HL""],""A-Levels"":[""A-Level Physics"",""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Chemistry""],""AP"":[""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism"",""AP Calculus BC"",""AP Chemistry""],""MYP"":[""MYP Physical and Earth Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Physics"",""GCSE Mathematics"",""GCSE Chemistry""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry""]}"
386,Engineering,Systems Engineering,"Systems Engineering is a multidisciplinary field that focuses on designing, integrating, and managing complex systems over their life cycles. This major equips students with the skills to optimize system performance and project outcomes through systematic techniques and methodologies.","Systems Analyst, Systems Engineer, Project Manager, Quality Assurance Engineer, Operations Research Analyst, Industrial Engineer, Process Engineer, Technical Consultant","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Computer Science A""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Physics"",""CBSE Informatics Practices""]}"
387,Engineering,Mechatronics Engineering,"Mechatronics Engineering is a multidisciplinary field that combines mechanical engineering, electronics, computer engineering, control engineering, and systems design engineering to create useful products and processes. This major focuses on the integration of mechanical components with electronic systems, and the development of smart machines and robotics.","Automation engineer, Robotics engineer, Control system engineer, Instrumentation engineer, Systems designer, Product development engineer, Software engineer, Research and development engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics"",""A-Level Design and Technology""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Sciences"",""MYP Mathematics"",""MYP Technology""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Informatics Practices"",""CBSE Engineering Graphics""]}"
388,Engineering,Materials Engineering,"Materials Engineering is a specialized field of engineering that focuses on the discovery, design, and manipulation of materials to create new products and solve engineering problems. It integrates principles of applied physics and chemistry to understand the structure and properties of materials from the atomic to the macroscopic scale.","Materials scientist, Process engineer, Quality control engineer, Research and development engineer, Metallurgical engineer, Polymer engineer, Composite materials engineer, Ceramic engineer","{""IB"":[""IB Chemistry HL"",""IB Physics HL"",""IB Mathematics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Chemistry"",""A-Level Physics"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Chemistry"",""AP Physics C: Mechanics"",""AP Calculus BC"",""AP Environmental Science""],""MYP"":[""MYP Design"",""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Chemistry"",""GCSE Physics"",""GCSE Mathematics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Chemistry"",""CBSE Physics"",""CBSE Mathematics"",""CBSE Engineering Graphics""]}"
389,Engineering,Automotive Engineering,"Automotive Engineering is a specialized branch of engineering focusing on the design, development, and manufacturing of vehicles. This major integrates elements of mechanical, electrical, electronic, software, and safety engineering as applied to the design and production of motorcycles, automobiles, buses, and trucks and their respective engineering subsystems.","Automotive Design Engineer, Performance Engineer, Vehicle Dynamics Controller, Automotive Quality Assurance Manager, Automotive Sales Engineer, Powertrain Engineer, Research and Development Engineer, Automotive Safety Analyst","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Computer Science SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Design and Technology""],""AP"":[""AP Calculus AB"",""AP Physics C: Mechanics"",""AP Computer Science A"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Health Education"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Information Technology""]}"
390,Engineering,Structural Engineering,"Structural Engineering is a specialized branch of civil engineering that focuses on the design, construction, and maintenance of structures such as buildings, bridges, tunnels, and other large installations. This major combines principles of physics, mathematics, and material science to ensure safety, sustainability, and resilience in infrastructure.","Structural Engineer, Construction Project Manager, Earthquake Engineer, Bridge Engineer, Building Inspector, Civil Engineering Consultant, Forensic Engineer, Structural Design Technician","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Statistics""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Physical Education""]}"
391,Engineering,Petroleum Engineering,"Petroleum Engineering is a field of engineering focused on the exploration, extraction, and production of oil and natural gas. This major equips students with specialized knowledge in geology, fluid mechanics, and thermodynamics to efficiently utilize and manage natural energy resources.","Reservoir Engineer, Drilling Engineer, Production Engineer, Petrophysical Engineer, Completion Engineer, Field Engineer, Project Manager, Research Scientist","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Chemistry""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Chemistry""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Chemistry""],""CBSE"":[""CBSE Mathematics"",""CBSE Physics"",""CBSE Chemistry""]}"
392,Engineering,Agricultural Engineering,"Agricultural Engineering combines the disciplines of mechanical, civil, electrical, and chemical engineering principles with a knowledge of agricultural principles according to technological principles. A degree in Agricultural Engineering offers a blend of deep understanding in technology and biology, equipping students to improve agricultural productivity and processes.","Agricultural Engineer, Farm Manager, Environmental Controls Engineer, Bioresource Engineer, Agricultural Equipment Designer, Precision Agriculture Technologist, Water Resources Engineer, Rural Development Officer","{""IB"":[""IB Mathematics HL"",""IB Biology HL"",""IB Chemistry SL"",""IB Environmental Systems and Societies SL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Biology"",""A-Level Chemistry"",""A-Level Physics"",""A-Level Environmental Science""],""AP"":[""AP Calculus AB"",""AP Biology"",""AP Chemistry"",""AP Environmental Science"",""AP Physics C: Mechanics""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Design"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Mathematics"",""GCSE Biology"",""GCSE Chemistry"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Chemistry"",""CBSE Biology"",""CBSE Mathematics"",""CBSE Environmental Science""]}"
393,Engineering,Mining Engineering,"Mining Engineering is a field of engineering focused on the extraction and processing of minerals from the Earth. It involves the study of methods to locate, extract, and process natural resources safely and sustainably.","Mining Engineer, Geological Engineer, Mine Safety Manager, Mineral Processing Engineer, Mine Supervisor, Exploration Geologist, Environmental Compliance Coordinator, Quarry Manager","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Chemistry""],""AP"":[""AP Calculus AB or BC"",""AP Physics C: Mechanics"",""AP Chemistry""],""MYP"":[""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Chemistry""],""CBSE"":[""CBSE Physics"",""CBSE Chemistry"",""CBSE Mathematics""]}"
394,Engineering,Engineering Physics,"Engineering Physics is a major that combines the principles of physics and engineering to develop an understanding of the interrelationship between these two foundations. It is designed for students aiming to pursue innovative applications of physics in technological solutions, often leading to cutting-edge advancements.","Research Scientist, Systems Engineer, Data Analyst, Optical Engineer, Materials Scientist, Aerospace Engineer, Nuclear Engineer, Renewable Energy Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism""],""MYP"":[""MYP Extended Mathematics"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Further Mathematics""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry""]}"
395,Engineering,Marine Engineering,"Marine Engineering is a specialized field of engineering that focuses on the design, construction, and maintenance of ships, boats, and other marine vessels and structures. This major combines principles from mechanical, electrical, and civil engineering to create and improve marine technology and infrastructure.","Ship engineer, Marine surveyor, Naval architect, Marine systems engineer, Offshore engineer, Environmental consultant, Port manager, Marine equipment designer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Design and Technology""],""AP"":[""AP Calculus AB"",""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Physics C: Electricity and Magnetism"",""AP Environmental Science""],""MYP"":[""MYP Design"",""MYP Physical and Earth Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Engineering Graphics""]}"
396,Engineering,Railway Engineering,"Railway Engineering is a specialized field of engineering focusing on the design, construction, and operation of railway systems. It encompasses aspects of mechanical, civil, and electrical engineering to ensure efficient and safe transportation of goods and passengers.","Railway Project Manager, Transport Planner, Rail Operations Manager, Track Design Engineer, Signal Engineer, Maintenance Engineer, Rolling Stock Engineer, Safety Compliance Officer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Physical and Earth Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Engineering Graphics""]}"
397,Engineering,Geological Engineering,"Geological Engineering is an interdisciplinary field that applies principles of geoscience to solve problems involving the Earth, its materials, and systems. This major combines aspects of geology, civil engineering, and environmental science to address issues related to resource extraction, natural hazards, and environmental protection.","Mining Engineer, Geotechnical Engineer, Environmental Consultant, Hydrogeologist, Petroleum Engineer, Seismic Risk Assessor, Geological Surveyor, Sustainability Advisor","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Chemistry SL"",""IB Environmental Systems and Societies SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Chemistry"",""A-Level Geology""],""AP"":[""AP Calculus AB"",""AP Physics C: Mechanics"",""AP Chemistry"",""AP Environmental Science""],""MYP"":[""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Chemistry"",""GCSE Geography""],""CBSE"":[""CBSE Physics"",""CBSE Chemistry"",""CBSE Mathematics"",""CBSE Biology""]}"
398,Engineering,Nanoengineering,"Nanoengineering is a branch of engineering that deals with the design and manipulation of materials at the molecular and atomic levels to create new materials and devices with unique properties. This major focuses on the application of nanotechnology in various fields such as medicine, electronics, and materials science.","Nanotechnology researcher, Biomedical engineer, Pharmaceutical scientist, Materials scientist, Microfabrication engineer, Environmental, health, and safety officer, Quality control specialist","{""IB"":[""IB Chemistry HL"",""IB Physics HL"",""IB Mathematics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Chemistry"",""A-Level Physics"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Chemistry"",""AP Physics C: Mechanics"",""AP Calculus BC"",""AP Biology""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Design"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Chemistry"",""GCSE Physics"",""GCSE Mathematics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Chemistry"",""CBSE Physics"",""CBSE Mathematics"",""CBSE Biology""]}"
399,Engineering,Telecommunications Engineering,Telecommunications Engineering is a branch of engineering focused on the development and enhancement of telecommunication systems. This major involves the application of principles from electronics and computer science to support and improve telecommunication networks.,"Telecommunications engineer, Network engineer, Systems engineer, RF engineer, Communications consultant, Broadcast engineer, Technical support engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics""],""AP"":[""AP Calculus AB"",""AP Physics C: Electricity and Magnetism"",""AP Computer Science A""],""MYP"":[""MYP Mathematics"",""MYP Design Technology"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Informatics Practices""]}"
400,Engineering,Manufacturing Engineering,"Manufacturing Engineering is a major focused on the design, development, and implementation of integrated systems for producing high-quality goods efficiently and safely. This field combines principles of engineering, technology, and management to optimize production processes and machinery.","Manufacturing Engineer, Quality Assurance Engineer, Production Manager, Industrial Designer, Process Engineer, Supply Chain Manager, Operations Manager, Robotics Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Design and Technology""],""AP"":[""AP Calculus AB"",""AP Physics C: Mechanics"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry""]}"
401,Engineering,Construction Engineering,"Construction Engineering is a specialized branch of engineering that deals with the design, planning, construction, and management of infrastructures such as roads, bridges, airports, and buildings. This major combines principles of civil engineering with project management and business skills.","Construction Manager, Project Engineer, Structural Engineer, Cost Estimator, Building Inspector, Site Engineer, Sustainability Consultant, Quality Assurance Analyst","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Business Management SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Design and Technology""],""AP"":[""AP Calculus AB"",""AP Physics C: Mechanics"",""AP Statistics"",""AP Environmental Science"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology"",""GCSE Business Studies""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Engineering Graphics""]}"
402,Engineering,Software Engineering,"Software Engineering is a field of study that focuses on designing, developing, and maintaining software systems using engineering principles and programming languages. It combines aspects of computer science, engineering, and project management to solve complex problems and create efficient, reliable software products.","Software Developer, Systems Architect, Software QA Engineer, Project Manager, DevOps Engineer, Database Administrator, Mobile Application Developer, Embedded Systems Engineer","{""IB"":[""IB Mathematics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Computer Science""],""AP"":[""AP Calculus AB"",""AP Computer Science A"",""AP Physics C: Mechanics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Mathematics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Computer Science"",""CBSE Physics""]}"
403,Engineering,Power Engineering,"Power Engineering is a branch of engineering focused on the generation, transmission, distribution, and utilization of electric power. It encompasses the study of converting energy sources into electrical power and ensuring that this power is delivered safely and efficiently.","Power Systems Engineer, Renewable Energy Engineer, Transmission Engineer, Distribution Engineer, Energy Consultant, Power Plant Manager, Systems Developer, Electrical Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Electricity and Magnetism""],""MYP"":[""MYP Design"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics""]}"
404,Engineering,Instrumentation Engineering,"Instrumentation Engineering focuses on the design, configuration, and maintenance of instruments and instrumentation systems that are used to measure, monitor, and control engineering systems and industrial processes. Students learn to apply principles from both electronics and mechanical engineering to ensure precision and efficiency in automated systems.","Instrumentation Engineer, Control Systems Engineer, Automation Engineer, Process Development Technician, Quality Assurance Specialist, Operations Manager, Research and Development Engineer, Field Service Technician","{""IB"":[""IB Physics HL"",""IB Mathematics HL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Physics"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Physics C: Mechanics"",""AP Calculus BC"",""AP Statistics""],""MYP"":[""MYP Physics"",""MYP Mathematics""],""GCSE"":[""GCSE Physics"",""GCSE Mathematics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry""]}"
405,Engineering,Textile Engineering,"Textile Engineering is a specialized field of engineering that combines principles of chemical, mechanical, and industrial engineering to design and control all aspects of fiber, textile, and apparel processes, products, and machinery. This major integrates the study of chemical and physical principles with the creation of innovative textiles and clothing required for modern life.","Textile designer, Quality control supervisor, Production manager, Technical salesperson, Research and development engineer, Operations manager, Process improvement engineer","{""IB"":[""IB Chemistry HL"",""IB Physics HL"",""IB Design Technology HL"",""IB Mathematics HL""],""A-Levels"":[""A-Level Chemistry"",""A-Level Physics"",""A-Level Mathematics"",""A-Level Design and Technology""],""AP"":[""AP Chemistry"",""AP Physics C: Mechanics"",""AP Calculus AB"",""AP Environmental Science""],""MYP"":[""MYP Design"",""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Chemistry"",""GCSE Physics"",""GCSE Mathematics"",""GCSE Design and Technology""],""CBSE"":[""CBSE Chemistry"",""CBSE Physics"",""CBSE Mathematics"",""CBSE Information Technology""]}"
406,Engineering,Water Resources Engineering,"Water Resources Engineering is a specialized field within civil engineering that focuses on the management and development of water resources. This major combines principles from hydrology, environmental science, meteorology, and civil engineering to address issues related to water quality and distribution.","Water Resources Engineer, Hydrologist, Environmental Consultant, Urban Planner, Flood Risk Manager, Hydraulic Engineer, Irrigation Engineer, Water Conservation Officer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Environmental Systems and Societies SL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Geography"",""A-Level Environmental Science""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Environmental Science"",""AP Statistics""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Design"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Geography"",""GCSE Chemistry""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Biology""]}"
407,Engineering,Engineering Technology,"Engineering Technology is a practical major focused on the application of engineering principles in various sectors. Students learn through hands-on projects and problem-solving approaches to develop, implement, and improve technologies.","Manufacturing Engineer, Quality Control Technician, Project Manager, Systems Analyst, Technical Sales Representative, Operations Manager, Field Service Engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Design Technology SL"",""IB Computer Science SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Design and Technology"",""A-Level Further Mathematics""],""AP"":[""AP Calculus AB"",""AP Physics C: Mechanics"",""AP Computer Science A"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Health Education"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Design and Technology"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Chemistry"",""CBSE Information Technology""]}"
408,Engineering,Control Engineering,"Control Engineering focuses on the modeling, analysis, and design of controllers to manipulate the behavior of dynamic systems using electrical, mechanical, and electronic processes. This major integrates principles from electrical engineering and computer science to develop and improve systems such as robotics, aircraft, and industrial automation.","Control systems engineer, Automation engineer, Instrumentation engineer, Process control technician, Robotics engineer, Aerospace control systems specialist, Manufacturing systems engineer, Electrical engineer","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Physics"",""CBSE Mathematics"",""CBSE Informatics Practices""]}"
409,Engineering,Geotechnical Engineering,Geotechnical Engineering is a branch of civil engineering focused on analyzing the engineering behavior of earth materials. This major involves the study of soil and rock mechanics to determine their physical properties and behavior under different conditions.,"Geotechnical Engineer, Civil Engineer, Environmental Consultant, Construction Project Manager, Structural Engineer, Mining Engineer, Urban Planner, Research Scientist","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Environmental Systems and Societies SL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Physics"",""A-Level Further Mathematics"",""A-Level Geography""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Environmental Science"",""AP Chemistry""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Chemistry"",""GCSE Geography""],""CBSE"":[""CBSE Mathematics"",""CBSE Physics"",""CBSE Chemistry"",""CBSE Geography""]}"
410,Engineering,Computational Engineering,"Computational Engineering is an interdisciplinary major that combines computer science, engineering principles, and mathematical models to design and analyze complex systems and simulations. This field focuses on the development and use of computational methods to solve engineering problems across various industries.","Software Developer, Data Scientist, Systems Analyst, Computational Scientist, Aerospace Engineer, Financial Engineer, Research Scientist, Operations Analyst","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics"",""A-Level Computing""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Physics"",""CBSE Computer Science""]}"
411,Computers and Data Science,Computer Science,"Computer Science is a dynamic and expansive major that focuses on the development and application of software and systems. It integrates theoretical foundations with practical skills in computing, problem-solving, and software design.","Software Developer, Data Scientist, Systems Analyst, Network Architect, Cybersecurity Specialist, Machine Learning Engineer, Database Administrator, IT Project Manager","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Calculus BC"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics""]}"
412,Computers and Data Science,Software Engineering,"Software Engineering is a field focused on the design, development, and maintenance of software systems using scientific and engineering principles. This major prepares students for the technological challenges of developing software products from theory to application.","Software Developer, Systems Architect, Project Manager, Quality Assurance Engineer, DevOps Engineer, Software Consultant, UX/UI Designer, Database Administrator","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Computing"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Calculus BC"",""AP Physics C""],""MYP"":[""MYP Design Technology"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
413,Computers and Data Science,Information Technology,"Information Technology (IT) is a dynamic field focused on the use of computers and software to manage information. In this major, students learn about the development, implementation, and maintenance of information systems and software, crucial for data management and communication.","IT Consultant, Systems Analyst, Network Engineer, Database Administrator, Cybersecurity Specialist, Software Developer, Web Developer, Technical Support Specialist","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics""]}"
414,Computers and Data Science,Data Science,"Data Science is an interdisciplinary major that combines mathematics, statistics, and computer science to analyze and interpret complex data. This field equips students with the skills to extract meaningful insights from large datasets, which are increasingly valuable in decision-making across various industries.","Data Scientist, Machine Learning Engineer, Data Analyst, Business Intelligence Analyst, Data Engineer, Quantitative Analyst, Statistician, Data Architect","{""IB"":[""IB Mathematics HL"",""IB Computer Science HL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Computer Science""],""AP"":[""AP Calculus BC"",""AP Statistics"",""AP Computer Science A""],""MYP"":[""MYP Extended Mathematics"",""MYP Design""],""GCSE"":[""GCSE Mathematics"",""GCSE Statistics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Informatics Practices"",""CBSE Physics""]}"
415,Computers and Data Science,Artificial Intelligence,"Artificial Intelligence (AI) is a dynamic field of study that focuses on creating systems capable of performing tasks that would normally require human intelligence. This includes processes like learning, reasoning, and self-correction.","AI Research Scientist, Machine Learning Engineer, Data Scientist, Robotics Engineer, AI Software Developer, Business Intelligence Developer, AI System Architect, Computational Linguist","{""IB"":[""IB Mathematics HL"",""IB Computer Science HL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Computer Science"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Computer Science A"",""AP Statistics"",""AP Physics C: Mechanics""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Computer Science"",""GCSE Physics""],""CBSE"":[""CBSE Mathematics"",""CBSE Computer Science"",""CBSE Physics""]}"
